Num    X        Y        FwhmX    FwhmY    Angle    Mag      Flux      OMC    SNR
1      801.52   474.27   2.406    2.034    0.09912  11.466   24622     44.74  99.28
2      837.54   749.98   2.057    1.845    0.3401   13.836   2776.86   3.911  165.1
3      221.31   772.9    1.957    1.731    0.1494   13.891   2640.07   4.863  141.5
4      744.77   826.3    1.777    1.475    1.055    13.895   2629.47   4.92   180
5      1050.6   603.38   1.946    1.827    0.03563  13.951   2498.31   3.265  189.9
6      880.11   694.43   1.91     1.508    1.408    13.96    2475.74   6.047  125.4
7      1393.3   977      1.855    1.63     0.3867   13.976   2440.61   4.119  173
8      500.9    178.78   4.864    1.61     0.3823   13.983   2425.53   16.18  16.9
9      180.27   37.743   2.064    2.048    1.269    14.054   2272.2    3.931  120.7
10     534.92   725.04   4.238    1.906    0.8973   14.059   2260.02   19.05  12.96
11     626.44   859.51   1.632    1.418    0.9343   14.085   2206.39   17     49.47
12     772.19   723.41   2.049    1.845    1.207    14.171   2039.25   3.349  142.1
13     562.01   784.65   2.073    1.746    0.9831   14.174   2033.88   12.1   40.98
14     629.76   661.16   2        1.711    0.03441  14.216   1955.84   10.26  49.14
15     760.5    306.24   2.196    1.998    0.6353   14.268   1864.4    2.262  165.8
16     1164.4   824.48   1.936    1.629    1.465    14.291   1826.07   6.775  75.42
17     870.07   857.8    2.099    1.92     0.08235  14.3     1810.99   1.906  208
18     647.46   664.08   1.783    1.629    0.0169   14.348   1733.06   3.149  167.2
19     669.17   886.7    1.52     1.369    0.9165   14.433   1602.53   13.64  49.81
20     681.04   452.71   2.079    1.482    0.07639  14.456   1568.75   4.837  92.95
21     693.36   861.69   1.522    1.37     0.9422   14.503   1501.83   3.22   197.3
22     570.9    606.05   2.996    1.805    -0.4464  14.505   1498.67   6.177  39.59
23     699.48   924.51   1.599    1.364    1.005    14.576   1403.89   2.699  210.5
24     880.37   1188.3   1.915    1.653    0.08024  14.579   1400.92   4.274  91.38
25     673.03   824.06   1.562    1.344    1.017    14.579   1400.74   3.588  164.2
26     812.62   692.07   1.733    1.083    -1.51    14.625   1342.55   6.133  102.9
27     1089.2   880.64   1.918    1.498    0.09303  14.634   1331.23   4.541  90.02
28     554.88   896.87   1.451    1.232    1.074    14.637   1327.02   3.911  167.5
29     585.1    775.77   2.48     1.781    -0.495   14.645   1317.26   25.49  10.32
30     942.35   451.17   1.95     1.491    -0.07182 14.691   1263.37   3.567  107.6
31     1107.1   1414.1   1.5      1.408    0.5774   14.71    1241.45   2.49   208.2
32     591.85   766.69   1.972    1.715    1.568    14.729   1220.17   22.86  13.93
33     496.11   816.48   1.672    1.428    1.21     14.729   1219.9    17.06  26.43
34     570.71   482.02   1.471    1.374    0.2461   14.776   1168.06   2.531  201.6
35     831      1032.2   2.102    1.54     -0.6802  14.785   1158.66   3.716  85.03
36     449.59   721.11   1.761    1.504    0.05652  14.834   1107.61   3.277  112.6
37     1320     1315.8   1.989    1.453    1.543    14.846   1095.1    3.184  105
38     1441.6   271.43   1.988    1.769    1.298    14.884   1057.72   3.966  66.93
39     1421.1   891.74   4.858    1.691    -1.294   14.885   1056.5    7.849  14.46
40     515.12   258.19   2.009    0.9293   1.028    14.904   1038.13   7.751  63.33
41     578.75   752.17   5.128    2.7      -0.5167  14.91    1032.83   18.27  3.605
42     533.86   931.48   1.519    1.337    1.046    14.92    1023.31   3.797  117.1
43     82.686   96.953   2.183    2.001    -1.225   14.927   1015.96   0.9496 216.1
44     555.17   841.17   1.522    1.329    1.005    14.943   1001.63   4.048  107.9
45     523.75   750.15   2.158    1.84     -0.1652  14.946   998.532   9.428  23.53
46     345.3    688.65   2.875    0.8746   -1.475   14.958   987.773   9.437  36.74
