Num    X        Y        FwhmX    FwhmY    Angle    Mag      Flux      OMC    SNR                              
1      331.21   105.18   6.451    5.278    1.459    11.093   223273    117.4  49.28
2      85.254   61.646   6.37     5.235    1.447    13.364   27579     15.78  46.26
3      464.03   533.19   6.317    5.11     1.53     13.434   25857.2   16.33  43.3
4      363.95   44.953   6.414    5.287    1.534    14.87    6888.77   7.074  25.35
5      586.64   575.97   6.364    5.239    1.506    15.134   5397.94   6.977  20.48
6      212.97   769.76   6.311    5.174    1.435    15.332   4500.17   6.026  20.19
7      333.8    17.899   6.565    5.432    1.545    15.558   3655.43   5.821  15.54
8      912.28   765.29   6.733    5.131    -1.512   15.563   3638.02   5.776  16.09
9      680.08   790.34   6.079    5.012    -1.364   16.131   2156.71   5.655  11.05
10     718.05   634.25   7.749    5.895    1.032    16.243   1944.51   5.622  6.682
11     895.23   680.44   6.024    4.654    1.442    16.427   1641.82   5.101  10.13
12     597.63   35.07    7.012    5.544    1.114    16.599   1401.22   5.017  6.34
13     38.738   668.12   5.747    5.088    -1.471   16.625   1367.58   5.322  7.757
14     389.76   959.89   6.618    5.337    -1.343   16.672   1309.55   5.523  5.925
15     464.76   499.89   7.884    7.068    1.409    16.691   1287.24   5.278  3.863
16     581.9    82.201   6.808    5.156    -1.569   16.793   1172.07   5.435  5.423
17     361.18   577.01   6.768    5.285    1.432    16.826   1136.58   5.492  5.106
18     818.02   104.14   5.861    5.053    1.564    16.834   1128.61   5.292  6.356
19     674.15   546.51   8.277    6.544    1.471    16.858   1103.7    4.938  3.642
20     436.11   622.47   6.361    5.636    -1.564   16.9     1061.92   5.38   4.859
21     853.97   970.95   5.36     4.971    -1.473   16.941   1022      5.042  6.715
22     184.09   322.6    6.751    4.938    1.392    17.014   955.9     5.161  4.903
23     755.08   69.946   6.288    5.072    -1.02    17.054   921.694   5.41   4.715
24     591.85   886.75   6.544    4.674    -1.332   17.075   903.638   5.479  4.759
25     734.91   66.223   6.771    5.254    -1.504   17.126   862.403   5.35   3.999
26     467.87   552.23   5.399    5.024    -1.31    17.15    843.039   5.202  5.273
27     672.37   110.72   6.554    5.049    1.36     17.213   795.528   5.569  3.81
28     653.79   478.14   6.005    5.23     1.251    17.276   750.809   5.133  4.11
29     670.69   685.94   5.922    5.157    -1.333   17.307   729.542   5.018  4.201
30     443.18   1007.1   5.769    4.007    -1.569   17.344   705.659   5.59   4.82
31     740.09   599.24   5.822    4.906    -1.265   17.367   690.623   5.044  4.23
32     424.3    419.28   6.446    5.382    0.9236   17.484   620.035   5.416  2.912
33     586.01   650.58   6.273    4.162    -1.522   17.526   596.754   4.926  4.096
34     840.24   681.41   5.95     4.29     1.22     17.569   573.418   5.459  3.632
35     586.11   376.23   5.683    4.945    0.8319   17.714   501.727   5.241  3.007
36     409.41   636.87   6.34     3.991    -0.7506  17.781   471.619   5.342  3.079

36 found stars
Processing time=17.1s
