Num    X        Y        FwhmX    FwhmY    Angle    Mag      Flux      OMC    SNR                              
1      984.78   708.91   6.51     5.511    -1.488   12.664   131162    57.83  55.79
2      84.461   64.28    6.713    5.422    -1.549   13.706   50235.6   28.59  42.6
3      363.25   47.546   6.796    5.599    -1.538   14.154   33260.2   18.25  42.27
4      757.73   580.87   7.783    5.838    1.298    14.228   31062.1   23.02  26.21
5      549.73   552.13   6.32     5.714    -1.414   15.11    13788     16.27  20.71
6      585.89   578.49   6.691    5.635    -1.547   15.298   11588.1   9.248  29.33
7      212.35   772.22   6.793    5.583    1.538    15.43    10262.3   8.268  28.89
8      467.67   629.97   6.677    5.71     -1.471   15.51    9538.67   7.624  28.96
9      468.72   607.18   6.6      5.702    -1.349   15.563   9081.06   7.309  29.14
10     316.16   345.34   6.754    5.651    -1.549   15.65    8382.07   7.82   24.78
11     333.05   20.626   6.612    5.304    -1.535   15.836   7059.94   7.787  22.81
12     967.55   715.61   8.201    5.807    1.417    15.901   6654.17   16.99  7.256
13     716.76   636.2    6.821    5.892    1.305    15.973   6225.37   6.383  21.41
14     597.01   37.758   6.633    5.621    -1.482   16.087   5604.49   6.738  19.69
15     383.96   903.8    6.489    5.752    1.479    16.169   5196.09   6.357  19.33
16     894.61   683.09   6.513    5.436    -1.456   16.3     4607.05   6.603  17.39
17     501.1    604.68   6.652    5.486    -1.482   16.322   4513.81   6.566  16.62
18     619.88   658.15   6.885    5.783    -1.383   16.355   4376.96   6.684  14.52
19     38.189   670.69   6.939    5.603    -1.481   16.466   3952.86   6.724  13.35
20     467.42   554.36   6.777    5.469    1.57     16.475   3919.7    9.073  10.29
21     388.99   962.28   6.8      5.722    -1.539   16.599   3496.77   6.553  12.1
22     591.03   889.09   6.946    5.758    1.546    16.646   3348.04   6.345  11.64
23     733.88   69.015   6.594    5.727    1.566    16.697   3195.64   6.072  12.3
24     538.86   633.64   6.194    5.415    -1.37    16.769   2991.35   8.381  9.391
25     824.49   65.997   8.426    6.295    -0.6643  16.774   2976.34   6.246  7.929
26     753.84   72.521   6.22     5.27     -1.507   16.844   2791.48   6.262  12
27     360.33   579.23   6.58     5.382    -1.477   16.906   2635.81   6.349  10.35
28     839.18   684.07   6.446    5.187    -1.399   16.933   2570.9    5.79   11.72
29     441.88   1009.3   6.375    5.646    -1.51    16.951   2528.76   5.757  10.77
30     669.85   688.18   6.53     5.788    -1.293   16.994   2431.08   6.211  9.139
31     632.26   770.08   6.674    5.708    -1.408   16.998   2423.03   6.141  9.14
32     464.36   502.91   6.783    5.472    -1.409   17.029   2354.5    6.361  8.802
33     581.1    84.433   6.644    5.541    -1.375   17.038   2333.97   5.986  9.346
34     183.52   324.91   6.294    5.562    -1.397   17.055   2297.34   6.391  9.062
35     827.95   317.62   6.949    5.487    -1.308   17.06    2287.38   6.261  8.457
36     369.23   381.08   6.425    5.278    1.461    17.114   2175.87   6.362  8.902
37     832.82   872.69   6.217    5.168    -1.362   17.119   2167.45   6.01   9.906
38     34.812   118.98   7.042    5.811    -1.489   17.124   2156.36   6.53   7.122
39     472.27   789.76   7.065    5.693    1.479    17.205   2001.74   6.127  7.169
40     430.66   601.15   6.468    5.829    -1.431   17.215   1983.12   6.005  7.73
41     290.89   663.89   6.855    5.406    -1.541   17.234   1949.61   6.02   7.713
42     521.59   320      6.646    5.274    -1.29    17.267   1889.84   6.242  7.623
43     673.3    549.39   6.363    5.824    -1.188   17.279   1869.8    5.965  7.466
44     164.2    25.161   6.84     6.327    -1.559   17.294   1843.55   6.288  5.979
45     437.42   202.06   6.943    5.492    -1.343   17.374   1713.46   6.266  6.328
46     51.409   397.47   8.065    5.716    -1.454   17.389   1689.83   6.333  5.108
47     671.34   113.28   6.399    5.274    1.448    17.443   1607.25   5.591  7.518
48     124.32   346.96   7.083    6.293    1.562    17.455   1589.47   6.328  4.974
49     628.91   404.4    6.897    5.824    -1.419   17.468   1570.85   6.026  5.727
50     445.39   495.83   6.552    5.007    -1.278   17.511   1510.36   6.106  6.655
51     493.57   780.89   6.932    5.762    -1.315   17.536   1475.37   5.409  6.027
52     969.77   160.28   6.438    5.311    -1.441   17.603   1387.81   6.047  5.923
53     326.64   482.15   7.35     6.584    -1.549   17.635   1346.6    6.207  3.956
54     535      474.22   7.459    5.411    1.364    17.683   1288.45   5.726  4.92
55     42.546   54.957   6.865    5.571    -1.496   17.697   1271.76   5.93   4.949
56     734.22   686.68   6.867    3.888    -1.495   17.734   1229.95   8.676  4.686
57     975.97   460.67   6.722    5.134    -1.193   17.77    1189.97   5.432  5.602
58     499.18   536.72   7.13     5.278    -1.529   17.854   1100.82   5.757  4.484
59     644.25   226.43   6.868    5.836    -1.264   17.856   1098.51   5.704  4.24
60     487.94   750.79   6.399    5.766    -1.416   17.871   1083.9    5.55   4.672
61     619.11   481.65   7.362    5.685    -1.467   17.882   1072.8    5.552  4.075
62     761.53   441.78   7.59     6.638    -1.341   17.929   1027.24   5.817  3.093
63     603.98   497.01   7.098    5.32     1.291    17.981   979.128   5.87   3.899
64     960.05   125.1    5.465    4.372    1.184    17.987   973.676   5.896  6.1
65     360.08   467.92   6.721    5.664    1.542    18.053   916.272   6.08   3.494
66     861.54   17.988   5.765    4.778    -1.096   18.056   913.633   5.817  5.032
67     704.22   585.25   5.584    5.567    0.1563   18.063   908.28    5.725  4.504
68     953.01   525.2    6.795    5.595    -1.087   18.093   883.55    5.514  3.719
69     774.19   117.87   7.057    5.18     1.225    18.097   879.92    5.83   3.644
70     496.35   815.02   6.673    5.482    0.9006   18.113   867.444   5.486  3.815
71     670.99   96.841   6.207    5.008    -1.464   18.117   863.943   5.777  4.246
72     809.01   791.98   7.122    5.338    1.494    18.139   847.095   5.517  3.565
73     392.39   627.87   7.172    5.104    1.227    18.145   842.124   6.194  3.278
74     307.24   557.94   6.205    4.106    -1.394   18.181   815.021   5.972  4.728
75     573.06   33.145   6.461    4.952    0.9852   18.183   813.028   6.164  3.638
76     379.1    553.21   6.22     5.608    1.332    18.261   756.94    6.094  3.143
77     951.26   329.82   6.273    5.722    -1.479   18.343   701.432   5.412  3.187
78     375.21   996.22   6.036    4.932    -1.263   18.409   660.538   5.936  3.299
79     424.42   514.08   6.05     4.955    -1.406   18.474   621.873   5.859  3.125
80     277.97   758.51   6.344    4.033    1.547    18.516   598.362   5.775  3.574
81     525.15   247.12   5.899    5.039    0.8703   18.542   584.183   5.831  2.974
82     274.67   967.33   5.259    4.241    1.13     18.869   432.357   5.819  2.939

82 found stars
Processing time=17.15s
