#Num    X        Y        FwhmX    FwhmY    Angle    Mag      Flux      OMC    SNR
1      283.28   949.18   4.101    3.922    -1.129   12.001   135548    101.4  73.33
2      852.93   376.61   4.113    3.94     -0.4493  12.251   107587    77.45  75.65
3      625.73   71.685   4.152    3.854    -0.6227  12.364   97025.4   88.44  60.51
4      280.54   573.87   4.016    3.816    -0.6848  12.437   90700.3   86.05  60.69
5      494.09   263.23   4.053    3.849    -0.6846  12.465   88358.5   84.59  59.08
6      211.8    87.261   4.124    4.024    -1.089   12.473   87759.7   63.44  73.57
7      492.17   1112.8   4.13     3.998    -0.755   12.494   86033.3   73.66  62.43
8      944.89   450.11   4.096    3.967    -0.5825  12.688   71961.3   46.26  84.5
9      575.1    390.45   4.112    3.884    -0.7092  12.755   67663.3   58.12  64.33
10     264.03   502.45   4.066    3.825    -0.8301  12.816   63941.6   63.23  57.39
11     363.74   294.73   4.091    3.934    -0.3866  12.855   61687.4   55.1   61.4
12     126.85   39.25    4.308    4.088    1.011    12.916   58324.5   46.01  63.52
13     649.83   126.33   4.165    3.859    -0.5687  12.931   57549.5   51.52  61.34
14     955.73   405.04   4.075    3.934    -0.4488  12.98    54967.3   35.67  84.83
15     282.75   140.23   4.178    3.992    -0.7693  13.023   52876.3   44.69  62.61
16     336.84   601.59   4.088    3.881    -0.6316  13.06    51090     62.95  45.14
17     510.7    205.75   4.2      3.973    -0.4797  13.205   44714.9   55.06  42.95
18     266.89   1012.2   4.162    4.029    -0.9295  13.268   42163.6   30.56  72.6
19     183.98   23.821   4.245    4.174    1.296    13.43    36335.4   32.46  55.75
20     469.14   20.428   4.152    3.958    -0.7702  13.473   34927     27.93  67.15
21     268.04   185.97   4.056    3.919    -0.8263  13.519   33465.6   29.11  63.84
22     148.2    494.24   4.015    3.787    -1.063   13.521   33422.9   33.69  57.59
23     19.058   422.01   4.062    3.994    -0.5115  13.539   32871.8   31.2   57.32
24     1277     1019     4.321    4.039    -0.6158  13.554   32422.1   25.42  64.51
25     659.7    368.22   4.126    3.788    -0.5894  13.558   32304.5   27.94  65.29
26     19.74    688.65   4.148    3.93     -0.6532  13.56    32221.7   30.64  56.91
27     239.87   343.53   4.106    3.934    -0.5727  13.567   32013.3   30.87  56.67
28     1049.5   573.99   4.168    4.006    -0.6679  13.576   31768.8   18.69  89.84
29     31.346   142.43   4.151    4.066    0.4429   13.59    31366.6   23.57  69.58
30     693.79   225.84   4.128    3.788    -0.5425  13.615   30652.4   27.66  62.55
31     636.22   265.12   4.119    3.811    -0.6597  13.634   30119     28.47  59.47
32     575.33   417.63   4.136    3.852    -0.6747  13.635   30075.9   28.07  59.35
33     109.65   515.06   4.06     3.838    -0.9256  13.666   29237.9   30.6   54.12
34     339.48   1675.9   4.385    3.972    -0.4534  13.681   28830.2   22.24  65.69
35     49.251   881.35   4.059    3.756    -0.8414  13.695   28465.1   27.89  59.06
36     117.31   100.01   3.982    3.868    1.545    13.699   28369.5   62.02  26.21
37     324.91   31       4.138    4.056    -1.051   13.699   28353.3   22.67  65.76
38     33.679   88.633   4.172    4.088    -0.5257  13.711   28048.8   22.85  63.53
39     176.27   46.551   4.127    3.998    1.491    13.713   27989.5   24.71  60.58
40     587.21   484.19   4.218    3.893    -0.8856  13.717   27903.4   25.94  57.83
41     919.84   425.79   4.135    3.945    -0.84    13.736   27405.8   20.07  73.87
42     424.04   114.59   3.939    3.766    -0.5299  13.808   25651.8   53.52  28.52
43     197.23   32.457   4.602    4.445    -1.122   13.82    25365.7   116.4  9.404
44     175.29   160.82   4.234    4.094    -0.8749  13.826   25238.2   39.57  32.47
45     204.2    41.795   4.551    4.161    0.458    13.863   24383.2   114    9.966
46     280.28   511.63   4.077    3.953    -1.173   13.883   23948.6   26.88  48.79
47     114.16   60.938   4.277    4.094    0.9224   13.912   23305.7   20.21  58.13
48     59.928   168.09   4.175    4.029    0.7521   13.916   23227     20.24  60.2
49     253.67   672.14   4.089    3.858    -0.742   13.933   22852.3   23.18  55.17
50     411.83   414.47   4.131    3.931    -1.067   13.937   22784.3   23.73  52.19
51     156.29   1143.1   4.161    3.976    1.515    13.956   22374.3   18.09  65.97
52     38.259   295.64   4.286    4.058    -1.085   13.965   22191.2   21.07  53.42
53     1367     210.11   4.246    4.068    -0.5076  13.968   22132.4   11.96  94.54
54     1113.8   502.38   4.169    4.004    -0.6175  13.985   21790.4   13.02  88.47
55     1192.3   1024.9   4.27     4.039    -0.6023  14.009   21320.2   16.7   65.36
56     113.16   889.26   4.197    3.923    -1.147   14.034   20830.4   18.49  60.4
57     108.82   486.99   4.071    3.892    -0.6165  14.038   20760.9   20.96  55.17
58     221.48   350.26   4.111    3.926    -0.751   14.05    20534     17.24  65.14
59     130.04   726.55   6.441    4.125    -1.559   14.05    20519     43.84  15.55
60     312.16   545.57   4.075    3.857    -0.7892  14.057   20398.6   19.2   59.63
61     309.58   182.23   4.011    3.706    -0.5994  14.067   20208     27.68  43.34
62     565.08   573.69   4.284    3.85     -0.9184  14.068   20189     19.28  56.02
63     1260.3   1361.8   4.296    3.996    -0.572   14.089   19800.1   15.7   64.84
64     630.32   487.3    4.205    3.889    -0.8856  14.089   19798.8   22.33  47.85
65     1000.2   909.61   4.239    4.004    -0.9006  14.093   19736.3   15.02  68.33
66     658.27   889.84   4.268    4.052    -0.8739  14.098   19629.6   12.23  81.89
67     320.32   789.2    4.123    3.913    -0.9838  14.132   19034.4   15.76  66.08
68     123.51   216.89   4.568    3.982    -1.356   14.164   18479.3   16.21  55.31
69     102.05   242.12   4.285    4.031    -0.1324  14.178   18240.5   19.96  46.7
70     797.32   271.99   4.13     3.836    -0.6491  14.201   17862.3   13.83  71.94
71     830.32   194.38   4.183    3.87     -0.6767  14.201   17855.8   16.06  60.63
72     241.03   283.58   4.032    3.89     -0.8121  14.219   17570.5   31.29  31.6
73     65.546   558.36   3.984    3.736    -0.8099  14.23    17397.8   20.98  49.17
74     407.39   176.37   4.062    3.829    -0.9214  14.232   17362.4   23.64  41.68
75     17       111.19   4.35     4.231    -0.03057 14.236   17296.6   20.67  40.13
76     68.128   213.16   4.304    4.03     0.1424   14.269   16779.6   25.61  33.34
77     186.98   87.22    4.168    4.118    -0.1134  14.274   16699.6   14.02  61.25
78     263.32   145.67   4.111    3.981    -1.118   14.277   16650.4   19.82  45.29
79     583.87   97.813   3.777    3.746    0.3927   14.3     16309.6   64.84  15.69
80     355.01   278.98   4.794    4.059    1.432    14.3     16309.5   22.96  32.22
81     388.91   1108.5   4.203    4.094    -0.9439  14.347   15608.4   10.56  75.78
82     314.5    349.02   4.064    3.864    -0.6454  14.36    15432.2   15.67  55.35
83     63.111   138.49   4.079    3.951    -1.247   14.365   15359.9   20.9   40.25
84     672.71   433.73   4.176    3.845    -0.7115  14.367   15333.5   12.88  65.42
85     248.12   271.6    4.201    4.178    1.016    14.369   15297.7   50.57  15.21
86     125.4    240.96   4.224    3.984    1.357    14.372   15264.6   19.19  41.72
87     155.89   115.85   4.957    4.032    0.4678   14.418   14631.7   21.92  29.47
88     187.2    203.98   3.963    3.903    1.317    14.423   14554.7   14.61  56.85
89     179.07   714.54   4.138    3.953    -0.9301  14.447   14235.1   13.05  58.85
90     1862.3   33.4     4.282    4.013    -0.1295  14.476   13868.1   8.393  84.86
91     295.46   155.32   4.089    4.032    -1.312   14.476   13858.8   23     32.26
92     484.01   46.883   3.982    3.651    -0.5979  14.505   13493.3   26.57  30.82
93     357.9    234.69   4.959    4.388    -1.128   14.516   13360.7   32.05  16.91
94     567.3    89.88    4.001    3.888    -0.8122  14.521   13298.4   13.4   56.32
95     157.1    701.89   4.012    3.761    -0.9044  14.536   13123.5   14.68  52.28
96     58.605   65.024   4.205    4.035    0.806    14.545   13011.2   12.48  54.26
97     239.99   559.38   4.47     4.061    0.2829   14.545   13005.5   17.05  37.08
98     624.39   1332.7   4.313    3.942    -0.6057  14.586   12531.5   10.49  62
99     122.21   501.81   4.123    3.912    -0.4645  14.609   12263.2   20.62  32.54
100    364.25   679.98   4.155    3.897    -0.8563  14.616   12181.5   10.11  65.66
101    348.31   223.91   4.69     4.471    -0.8197  14.634   11988.2   35.4   14.26
102    1821.7   1587.8   4.257    4.133    -0.1444  14.642   11900.4   6.835  87.32
103    375.12   176.96   4.129    3.922    -0.9005  14.643   11887.9   11.04  58.67
104    83.111   129.05   4.199    3.937    -1.341   14.665   11646.1   22.1   28.13
105    281.06   371.92   4.004    3.804    -0.892   14.73    10970.7   10.03  63.36
106    621.33   474.36   4.229    3.919    -0.7105  14.734   10931.5   16.6   35.06
107    166.64   385.32   4.263    3.917    -1.236   14.735   10926     12.92  44.69
108    963.09   335.98   4.114    3.924    -0.78    14.762   10652.2   8.728  66.72
109    99.532   314.21   3.972    3.859    -0.5322  14.765   10622.2   11.66  52.44
110    953.15   234.58   4.139    3.934    -0.7798  14.766   10619.3   7.137  80.66
111    211.96   303.61   4.057    3.862    -1.071   14.773   10541.7   18.01  32.96
112    278.1    767.29   4.1      4.025    -0.5671  14.788   10402.8   10.14  54.86
113    15.394   93.043   4.647    4.302    0.7602   14.808   10214     20.9   21.58
114    973.53   189.11   4.099    4.028    -0.412   14.852   9809.84   6.707  78.17
115    565      405.17   5.234    4.855    -0.4909  14.916   9241.35   33.82  9.492
116    829.37   220.74   4.023    3.876    -0.7177  14.956   8913.26   7.759  65.03
117    668.15   1134.8   4.259    4.01     -0.6101  14.986   8669.43   6.998  64.02
118    928.62   638.38   4.172    4.008    -0.6884  14.997   8584.14   5.368  84.4
119    519.45   1995.9   4.327    3.995    -0.5721  15.008   8494.3    7.634  56.81
120    638.12   521.14   5.315    3.991    -1.105   15.014   8443.52   9.643  36.43
121    397.75   214.27   4.086    3.948    -0.8275  15.022   8383.16   10.01  45.84
122    428.39   1962.4   4.358    3.913    -0.5902  15.037   8266.06   7.571  56.5
123    199.67   301.65   3.987    3.745    -1.046   15.069   8030.94   23.27  20.4
124    282.32   155.08   4.105    3.894    0.9811   15.073   7999.65   21.65  20.4
125    214.21   503.93   4.044    3.875    -0.7171  15.074   7994.46   8.008  56.22
126    435.24   462.94   4.042    3.729    -0.8633  15.078   7962.46   9.293  50.17
127    270.1    526.71   4.05     3.713    -0.7986  15.081   7941.25   11.06  42.13
128    51.855   673.26   4.23     3.923    -1.067   15.083   7925.13   8.355  50.45
129    300.11   305.11   4.097    3.887    -1.048   15.09    7879.12   8.441  51.72
130    459.95   984.41   4.155    4.057    -0.8065  15.09    7878.76   5.621  73.39
131    354.31   95.323   4.828    3.948    -0.1244  15.092   7863.96   14.65  24.86
132    269.66   78.972   4.159    3.887    -0.9086  15.111   7723.4    9.423  44.74
133    430.02   130.33   3.878    3.681    -0.6139  15.136   7550.21   42.93  10.87
134    1997     557.42   4.333    4.113    -0.3837  15.146   7476.72   4.982  74.32
135    1127.3   681.21   4.076    3.963    -1.097   15.15    7453.19   5.098  79.87
136    361.03   81.292   4.732    4.167    0.7343   15.152   7441.05   10.92  30.49
137    1134.2   95.382   4.171    3.964    -0.4765  15.16    7381.18   5.035  78.25
138    87.109   614.51   4.005    3.826    -1.063   15.167   7335.41   6.998  60.36
139    225.51   468.22   3.861    3.561    -0.7542  15.238   6875.21   15.27  28.89
140    1364.4   84.299   4.179    4.063    -0.4125  15.238   6871.36   4.2    85.03
141    859.87   770.82   3.955    3.64     -0.6815  15.243   6842.07   30.22  13.88
142    367.43   47.176   4.445    4.121    0.04476  15.255   6765.74   6.173  52.81
143    697.88   453.72   4.007    3.993    -0.5347  15.256   6761.31   6.274  59.46
144    800.42   377.47   4.064    3.857    -0.2731  15.274   6645.28   6.32   59.21
145    223.24   131.97   4.277    3.932    -0.6751  15.279   6614.52   9.455  36.72
146    751.5    270.85   4.329    3.968    -0.706   15.281   6608.11   6.411  52.96
147    65.941   186.74   4.715    3.995    -0.2439  15.306   6456.1    12.2   24.8
148    225.09   312.84   4.264    3.894    -1.426   15.309   6435.41   13.32  25.69
149    109.3    328.52   4.295    3.968    0.1864   15.32    6369.92   15.87  20.78
150    180.68   276.49   7.448    4.666    -1.545   15.343   6239.08   14.09  11.24
151    849.58   645.93   4.612    3.782    -1.166   15.345   6226.61   13.28  23.73
152    338.12   211.15   4.068    3.678    -0.08565 15.371   6077.18   27.34  13.11
153    592.11   95.953   3.368    3.056    -0.6639  15.377   6045.43   120.7  4.296
154    680.25   354.08   4.092    3.942    -0.6341  15.381   6023.38   4.512  73.03
155    145.96   289.07   10.83    5.247    -0.9186  15.391   5969.61   11.54  8.033
156    75.179   349.27   4.164    3.852    -0.9341  15.398   5929.2    24.5   13.32
157    22.387   158.87   13.27    7.373    0.7962   15.401   5912.26   8.278  6.441
158    43.779   27.279   4.441    4.087    0.11     15.405   5891.43   11.97  23.93
159    615.19   174.15   4.072    3.796    -0.8625  15.454   5633.18   9.277  34.67
160    1484.2   239.08   4.225    4.055    -0.3612  15.456   5620.34   3.601  80.39
161    274.75   889.8    4.117    3.849    -0.841   15.471   5544.4    4.863  63.5
162    40.972   1150.7   4.042    4.008    0.6809   15.483   5486.38   4.582  65.23
163    435.22   530.47   4.05     3.904    -0.5117  15.488   5459.24   10.3   29.57
164    156.72   474.05   3.953    3.94     -1.535   15.499   5403.24   7.485  40.91
165    1699.6   447.09   4.263    4.047    -0.555   15.5     5400.26   3.583  77.1
166    52.706   225.96   4.172    3.94     -0.3124  15.51    5349.18   11.57  24.83
167    184.52   419.28   3.893    3.727    -0.8351  15.519   5307.55   11.78  27.4
168    335.68   229.17   4.079    4.048    -1.117   15.526   5273.38   15.48  18.21
169    178.37   118.44   4.008    3.854    -0.9836  15.53    5251.57   18.28  16.42
170    409.22   226.78   3.995    3.595    -0.9677  15.535   5227.67   23.35  13.76
171    794.48   402.19   4.216    3.958    -0.6747  15.539   5209.11   4.108  67.06
172    253.04   217.94   14.75    6.807    -1.089   15.577   5027.79   7.234  6.108
173    1186     182.49   4.013    3.924    1.262    15.593   4957.39   4.194  66.26
174    175.25   243.01   6.553    4.219    1.053    15.602   4914.37   13.44  11.67
175    26.124   55.729   6.273    4.185    -1.247   15.605   4903.15   9.701  16.99
176    118.9    145.89   9.75     4.464    -0.02483 15.609   4885.1    14.96  6.624
177    1123.8   209.47   4.135    3.995    -0.5822  15.613   4863.48   3.304  78.63
178    237.97   213.34   4.311    3.957    -1.132   15.622   4824.51   11.34  22.02
179    548.51   952.03   4.097    3.926    -0.8329  15.63    4791.52   3.747  70.16
180    25.936   41.352   5.002    4.063    1.137    15.653   4690.02   9.194  22.15
181    165.89   228.59   4.361    3.991    1.381    15.656   4675.96   9.499  24.96
182    21.808   274.31   4.002    3.936    -0.6672  15.66    4658.02   7.619  34.25
183    304.19   286.46   4.787    3.778    0.3644   15.662   4652.2    11.09  20.46
184    142.36   58.642   6.152    4.395    -0.7704  15.665   4639.17   9.27   16.34
185    607.24   126.92   4.156    3.859    -0.5033  15.667   4630.49   4.924  51.75
186    1304.3   1201.8   4.17     3.961    -0.2791  15.705   4469.48   4.105  58.18
187    251.86   105.2    4.574    4.188    -0.8984  15.707   4460.68   9.44   21.77
