#Num    X        Y        FwhmX    FwhmY    Angle    Mag      Flux      OMC    SNR
1      280.25   573.58   3.783    3.675    -1.093   11.578   1.17235E6 737.2  101
2      625.4    71.301   3.709    3.574    -1.269   11.681   1.06629E6 544.7  130.4
3      493.76   262.89   3.503    3.43     -0.7325  11.798   957678    637.3  110.4
4      491.89   1112.6   3.561    3.432    -0.7787  11.944   836976    707.8  85.4
5      852.63   376.23   3.424    3.272    -1.023   12.019   780840    566    108.7
6      283.02   948.9    3.548    3.356    -0.6254  12.039   766966    593.4  95.79
7      211.53   86.895   3.617    3.438    0.774    12.042   764511    463.3  117.1
8      944.59   449.72   3.391    3.358    1.324    12.403   548648    369.3  115.1
9      574.79   390.13   3.46     3.325    -1.308   12.421   539166    340.8  121.3
10     263.74   502.15   3.423    3.376    -1.466   12.46    520264    340.4  116.7
11     363.47   294.45   3.402    3.372    -1.279   12.54    483324    326.4  113.9
12     649.53   125.97   3.461    3.347    -1.066   12.675   426990    309.7  105
13     93.331   404.34   3.506    3.422    0.3653   12.718   410388    316.1  95.49
14     126.6    38.862   3.823    3.443    0.7036   12.72    409428    316.2  86.8
15     282.49   139.86   3.467    3.424    1.26     12.874   355500    229.1  115.4
16     336.54   601.28   3.445    3.347    -1.082   12.874   355273    338.8  80.27
17     955.43   404.65   3.376    3.329    1.346    12.966   326647    234    109.6
18     94.527   150.23   3.706    3.411    0.5203   13.108   286461    217.8  91.8
19     510.42   205.4    3.484    3.379    -1.017   13.17    270568    219.3  92.53
20     1718.3   215.07   3.48     3.324    -1.424   13.261   248873    183.2  103.7
21     147.94   493.95   3.473    3.424    -1.329   13.398   219398    148.3  109.8
22     266.69   1011.9   3.546    3.38     -0.4514  13.448   209432    165.9  92.92
23     239.58   343.27   3.464    3.422    -1.565   13.484   202539    144.6  104.2
24     659.41   367.85   3.446    3.305    -1.227   13.516   196695    137.7  110.7
25     19.523   688.31   3.542    3.357    0.06718  13.525   195098    137.4  105.4
26     109.44   514.77   3.5      3.436    0.8045   13.603   181616    130.2  102.3
27     117.08   99.676   3.687    3.385    0.667    13.616   179486    178.3  71.16
28     31.087   142.14   3.815    3.441    0.572    13.621   178669    128.5  93.49
29     49       881      3.546    3.372    -0.08988 13.644   174921    121.6  106.2
30     511.42   289.24   3.429    3.314    -1.036   13.707   165041    110.4  116.2
31     267.77   185.62   3.457    3.41     0.9939   13.72    163027    105.5  115.7
32     29.549   791.18   3.573    3.405    -0.01215 13.737   160559    104.4  111.6
33     33.448   88.338   3.802    3.383    0.6031   13.755   157866    130.5  83
34     1276.7   1018.6   3.583    3.418    -1.335   13.893   139051    120    83.53
35     175.05   160.49   3.668    3.491    0.6391   13.898   138447    213.7  44.64
36     176.07   46.186   3.682    3.442    0.6936   13.975   128895    99.09  90.58
37     1192     1024.5   3.524    3.387    -1.048   13.978   128583    124.4  76.45
38     203.85   41.345   3.822    3.442    0.5419   14.055   119714    330.8  24.28
39     564.78   573.31   3.491    3.346    -0.9311  14.158   108906    85.05  96.74
40     630.04   486.99   3.477    3.355    -0.9044  14.206   104169    88.01  89.55
41     253.41   671.82   3.444    3.37     -0.7282  14.207   104108    68.46  115.6
42     65.309   558.06   3.524    3.388    -0.08952 14.241   100921    76.63  97.35
43     101.75   241.82   3.701    3.456    0.4286   14.267   98519     89.56  75.91
44     108.6    486.66   3.527    3.451    1.014    14.285   96877.7   72.39  97.04
45     407.04   176.04   3.427    3.334    -1.09    14.29    96491.8   110.4  67.54
46     1297.3   1060.1   3.621    3.387    -1.119   14.323   93528.9   78.66  85.56
47     151.45   184.15   3.557    3.373    0.546    14.326   93288.3   73.88  92.89
48     123.25   216.59   3.904    3.585    1.498    14.332   92780.3   72.11  81.14
49     18.867   421.7    3.554    3.533    0.6301   14.395   87520     72.7   84.64
50     183.8    23.457   3.751    3.532    0.7857   14.405   86760     104.3  55.43
51     468.91   20.026   3.516    3.392    -1.157   14.438   84135.3   69.66  89.39
52     186.97   203.63   3.53     3.386    0.6185   14.517   78229     61.74  93.54
53     125.13   240.72   3.672    3.41     0.9074   14.518   78195.7   83.53  65.98
54     672.47   433.38   3.451    3.272    -0.9823  14.518   78187.8   56.64  107.9
55     388.71   1108.3   3.562    3.43     -0.4282  14.52    78036.6   65.68  85.82
56     67.949   212.9    3.765    3.37     0.4177   14.53    77354.2   132.5  40.62
57     320.06   788.92   3.529    3.349    -0.7159  14.531   77262.7   55.91  103.2
58     354.69   278.59   3.68     3.38     1.429    14.546   76201.3   106.3  50.86
59     1049.2   573.6    3.535    3.415    1.372    14.556   75507.1   58.65  94.13
60     178.85   714.21   3.463    3.37     -0.2541  14.566   74833.9   53.59  105.6
61     635.94   264.77   3.417    3.343    1.518    14.573   74345     52.66  109
62     575.09   417.28   3.48     3.318    -1.355   14.577   74057.1   69.12  81.91
63     156.84   701.53   3.455    3.391    0.2825   14.584   73602.5   63.23  87.68
64     247.83   271.33   3.411    3.38     -0.1492  14.595   72797.5   79.65  69.98
65     129.89   728.07   9.238    3.719    1.548    14.614   71534.2   225    8.167
66     295.13   154.95   3.598    3.37     0.4176   14.624   70921.3   94.29  54.75
67     339.32   1675.8   3.673    3.493    -0.9821  14.634   70266.5   60.72  79.62
68     54.408   123.29   3.748    3.42     0.5898   14.652   69100.1   63.12  75.37
69     1861.9   32.915   3.418    3.355    -1.167   14.686   66956.9   41.81  123.3
70     58.381   64.701   3.855    3.39     0.6182   14.725   64596     65.8   66.29
71     324.7    30.572   3.549    3.461    0.7759   14.727   64485.3   54.87  84.44
72     239.83   559.17   3.624    3.387    0.1581   14.738   63831.1   94.72  48.45
73     999.92   909.23   3.699    3.418    -1.259   14.746   63398.5   62.51  70.78
74     363.97   679.69   3.51     3.379    -1.096   14.749   63193.4   43.19  108.9
75     586.94   483.84   3.525    3.338    -1.104   14.755   62840.1   55.52  84.9
76     196.96   31.966   4.376    4.253    -0.04786 14.763   62385     749.1  3.95
77     121.95   501.5    3.544    3.455    0.5103   14.767   62180.8   81.76  54.81
78     374.83   176.6    3.443    3.375    -1.275   14.808   59868.9   43.77  103.9
79     919.55   425.44   3.431    3.299    -0.9857  14.819   59225     58.38  79.1
80     423.78   114.2    3.231    3.192    -0.7109  14.857   57198.3   297.4  16.46
81     280.07   511.29   3.547    3.404    1.04     14.862   56963.4   63.53  65.53
82     280.83   371.65   3.451    3.371    -1.322   14.871   56498.5   48.79  87.85
83     99.31    313.93   3.509    3.463    0.6311   14.899   55035.4   49.44  80.84
84     1821.5   1587.4   3.502    3.341    -1.28    14.901   54943.5   46.87  88.44
85     567.05   89.516   3.484    3.321    -1.142   14.916   54201.6   46.01  89.85
86     621.09   474.04   3.504    3.375    -1.097   14.933   53324.3   91.56  43.45
87     411.58   414.15   3.547    3.341    1.429    14.96    52026     50.44  76.79
88     829.11   220.44   3.53     3.348    -1.193   14.986   50801.7   36.03  105.3
89     962.8    335.61   3.377    3.324    -1.171   14.996   50331.2   40.82  96.93
90     59.725   167.8    3.766    3.427    0.659    15.001   50130     63.57  53.93
91     348.11   223.61   3.553    3.483    -1.194   15.006   49899.8   119.2  29.85
92     114      60.61    3.904    3.413    0.6864   15.014   49493.4   61.58  53.23
93     38.035   295.4    3.739    3.59     -1.534   15.029   48850.6   60.34  53.23
94     542.45   70.069   3.479    3.391    -1.106   15.037   48454.4   55.19  65.68
95     156.16   1142.9   3.604    3.377    -0.3961  15.039   48405     42.03  83.53
96     434.99   462.67   3.437    3.326    1.506    15.051   47839.2   42.49  86.92
97     357.75   234.32   6.171    4.877    -1.258   15.076   46769.3   233.9  5.862
98     311.92   545.27   3.429    3.374    -1.117   15.087   46305.7   30.39  116.2
99     973.22   188.72   3.52     3.382    -1.343   15.087   46276.6   31.35  109.5
100    112.97   888.94   3.6      3.446    -0.2874  15.091   46106.6   30.44  107.8
101    1366.8   209.59   3.711    3.421    -1.07    15.097   45868.4   31.35  101.7
102    1113.5   501.94   3.51     3.419    1.321    15.105   45511.3   35.37  94.63
103    221.24   349.98   3.45     3.444    -1.167   15.11    45317.6   40.53  83.05
104    1162.2   789.01   3.664    3.49     -1.349   15.126   44659.3   36.27  84.99
105    16.724   110.96   4.041    3.653    0.04736  15.153   43561.3   76.92  33.85
106    309.37   181.88   3.236    3.177    -0.5866  15.173   42756.1   116.5  31.52
107    45.474   367.19   3.862    3.465    0.654    15.197   41818.7   63.43  43.47
108    1260.1   1361.5   3.757    3.428    -1.248   15.2     41725.8   38.64  74.01
109    667.88   1134.6   3.646    3.459    -0.9505  15.212   41267.7   36.28  79.59
110    269.88   526.39   3.377    3.285    -1.364   15.213   41209.6   46.24  70.91
111    397.49   213.93   3.395    3.377    1.441    15.225   40764.5   39.37  79.7
112    199.49   301.39   3.448    3.41     0.6661   15.23    40572.2   38.44  79.24
113    519.14   1995.8   3.78     3.427    -1.207   15.241   40155.3   38.78  70.54
114    299.86   304.8    3.495    3.393    -1.533   15.246   39974     37.18  80.02
115    429.78   129.95   3.395    3.256    -1.177   15.26    39486.1   242.2  13.02
116    282.1    154.78   3.589    3.326    0.9211   15.261   39427.9   82.72  35.23
117    658.04   889.51   3.578    3.539    -1.362   15.262   39401     35     78.48
118    428.14   1962.3   3.823    3.422    -1.018   15.276   38904     38.25  68.62
119    240.79   283.3    3.502    3.444    0.4858   15.277   38874.1   211.6  13.44
120    830.09   194      3.501    3.407    -1.152   15.284   38618.8   42.66  66.99
121    51.656   672.97   3.541    3.489    0.4628   15.284   38606.7   28.86  95.57
122    637.83   520.72   4.88     3.416    -1.113   15.286   38528.2   58.39  34.93
123    269.4    78.622   3.5      3.458    0.9513   15.301   38003.2   41.09  67.44
124    86.917   614.22   3.436    3.342    0.1794   15.34    36669.1   27.77  101.5
125    459.68   984.16   3.571    3.411    -0.32    15.343   36551.2   34.92  75.84
