Num    X        Y        FwhmX    FwhmY    Angle    Mag      Flux      OMC    SNR
1      563.04   305.47   6.912    6.197    0.3369   11.027   52980.3   16.14  67.64
2      190.17   446.16   6.891    6.16     0.3069   11.584   31693.1   11.07  59.55
3      343.85   28.7     7.082    6.335    0.2774   11.638   30155.7   9.627  61.62
4      548.21   508.36   6.837    6.191    0.3892   11.745   27332.9   12.61  45.21
5      861.84   74.386   6.982    6.279    0.3568   12.882   9589.69   4.78   40.39
6      931.43   502.22   7.066    6.32     0.3035   13.125   7672.79   4.475  33.89
7      303.12   278.99   7.067    6.353    0.4337   13.612   4896.35   4.68   20.57
8      244.12   598.66   6.9      6.04     0.2218   13.785   4176.34   4.045  21.86
9      169.31   752.45   6.932    6.356    0.3489   14.014   3383.4    3.841  17.65
10     405.35   641.06   6.786    6.022    0.4482   14.05    3270.66   3.784  18.67
11     500.41   44.022   6.893    6.177    0.4794   14.562   2041.93   3.505  12.07
12     944.92   565.29   7.346    6.267    0.05183  14.67    1848.84   3.543  10.01
13     899.4    355.26   7.479    6.857    0.2021   14.676   1837.39   3.223  9.81
14     672.35   320.9    6.842    6.113    0.3745   14.831   1593.61   3.263  10.31
15     616.77   514.95   7.183    6.064    0.6708   14.901   1494.5    3.397  8.915
16     355.72   726.28   6.792    5.968    0.5219   14.973   1398.25   3.505  8.686
17     639.57   773.09   6.681    6.073    0.3193   15.011   1350.56   3.383  8.684
18     345.45   854.26   6.573    5.654    -0.1062  15.072   1276.81   3.475  8.727
19     158.99   586.78   7.581    6.075    0.4957   15.111   1230.81   3.327  7.09
20     660.01   476.38   6.622    5.967    -0.1273  15.112   1230.24   3.383  8.121
21     809.98   489.15   6.802    6.039    -0.7068  15.125   1215.87   3.447  7.577
22     163.21   414.14   7.114    6.023    0.6848   15.129   1211.58   3.604  6.923
23     847.32   423.34   7.587    6.353    0.1408   15.155   1182.66   3.395  6.378
24     508.98   222.94   7.676    6.352    0.2671   15.157   1180      3.454  6.183
25     749.71   41.597   8.267    6.902    0.2409   15.165   1171.56   3.371  5.376
26     67.78    159.12   8.48     5.989    0.6704   15.495   864.148   3.279  4.58
27     242.72   263.11   6.589    6.282    0.5321   15.536   832.186   2.985  5.944
28     759.25   499.19   7.006    5.683    0.1003   15.717   704.439   3.472  4.496
29     541.45   882.85   7.094    6.11     0.1723   15.722   701.511   3.42   4.176
30     333.1    335.31   6.483    5.976    -0.1499  15.755   680.283   3.343  4.635
31     600.79   638.96   6.544    6.231    1.004    15.939   574.109   3.048  4.076
32     972.23   150.34   6.973    6.463    -0.0837  15.957   564.693   3.328  3.323
33     861.2    873.02   6.862    5.698    -0.288   16.26    427.185   3.17   3.042
34     738.39   625.66   5.305    5.012    1.27     16.526   334.538   3.194  3.476
35     383.88   765.8    5.022    4.649    -1.117   16.829   253.085   3.268  2.928

35 found stars

Sky background (ADU)=31.00 Magnitude by second square=16.33
Processing time=14.95s
