Num    X        Y        FwhmX    FwhmY    Angle    Mag      Flux      OMC    SNR
1      565.39   306.85   5.822    5.352    0.4819   11.103   105829    32.81  91.37
2      192.35   447.31   5.805    5.543    0.2972   11.68    62195.6   14.78  115.4
3      346.08   29.901   5.736    5.351    0.2541   11.762   57646.8   17.22  96.29
4      826      993.58   6.069    5.539    0.7      12.153   40214.2   13.51  78.14
5      51.747   680.17   5.855    5.539    0.5211   12.746   23291.6   7.181  88.27
6      933.43   503.15   5.881    5.406    0.5951   12.754   23118     8.57   74.89
7      864.01   75.697   5.854    5.298    0.4523   12.907   20095.6   8.115  70.47
8      390.81   604.8    5.817    5.457    0.5598   13.42    12525.4   5.472  63.64
9      246.19   599.87   5.849    5.551    0.4188   13.459   12079.7   5.036  65.19
10     305.25   280.19   5.694    5.368    0.388    13.635   10270     5.221  56.79
11     171.42   753.77   5.942    5.462    0.5059   14.032   7128.5    4.248  45.64
12     321.58   819.91   5.881    5.486    0.5577   14.085   6787.16   4.001  46.39
13     947.03   566.17   6.073    5.595    0.5598   14.317   5481.5    3.93   36.22
14     502.39   45.138   5.759    5.211    0.1939   14.522   4540.64   3.907  34.17
15     619.05   516.14   5.973    5.539    0.2851   14.649   4038.52   3.747  28.75
16     811.93   490.09   6.017    5.324    0.4117   14.695   3871.14   3.936  27.1
17     901.63   356.14   5.894    5.18     0.6735   14.734   3732.84   3.678  29.35
18     264.64   219.77   5.712    5.339    0.4887   14.99    2950.26   3.769  22.65
19     661.72   477.32   5.888    5.38     0.3579   15.008   2900.7    3.425  23.59
20     160.98   588.15   5.842    5.365    0.5372   15.012   2889.06   3.528  23.06
21     641.81   774.21   6.164    5.29     0.6468   15.025   2855.85   3.543  21.82
22     165.37   415.26   5.736    5.526    0.9052   15.038   2822.3    3.569  22.02
23     511.26   223.83   5.953    5.329    0.2666   15.175   2488.27   3.895  17.77
24     113.67   255      5.902    5.56     0.9281   15.191   2450.86   3.623  18.19
25     849.74   424.7    5.662    5.144    0.41     15.244   2334.35   3.391  20.86
26     752.22   42.925   5.943    5.42     0.4526   15.287   2243.32   3.432  17.91
27     244.9    264.3    6.053    5.403    0.5375   15.373   2071.76   3.263  17.13
28     236.92   239.46   5.467    5.083    0.1796   15.392   2037.36   3.316  19.51
29     393.01   494.82   5.781    5.343    0.2515   15.465   1904.07   3.424  15.89
30     142.74   400.29   5.464    5.286    0.2823   15.473   1889.85   3.324  17.37
31     69.829   160.26   5.915    5.588    -0.2784  15.51    1827.06   3.513  13.89
32     201.67   891.08   6.086    5.637    0.4745   15.527   1798.99   3.343  13.85
33     517.03   807.84   5.74     5.363    0.8773   15.531   1791.91   3.338  15.39
34     761.35   500.2    5.848    5.141    0.4843   15.584   1706.13   3.277  15.29
35     385.85   766.64   6.181    5.278    0.9448   15.72    1505.17   3.438  11.84
36     602.98   640.21   5.715    5.56     0.06274  15.78    1424.96   3.382  11.7
37     921.85   224.24   5.722    5.145    0.4267   15.802   1395.9    3.267  12.81
38     83.804   671.12   5.586    5.153    0.4055   15.96    1206.6    5.064  7.305
39     897.95   537.03   5.902    5.429    0.7717   16.118   1043.66   3.442  8.352
40     643.37   809.28   5.717    5.386    1.108    16.147   1015.99   3.209  9.076
41     13.279   216.64   5.872    5.091    0.3165   16.171   994.295   3.401  8.632
42     740.2    626.42   5.621    5.233    1.008    16.21    959.124   3.28   8.773
43     84.24    203.76   6.203    5.472    0.03575  16.255   920.069   3.135  7.63
44     140.94   520.24   6.497    6.255    1.225    16.263   912.838   3.163  6.268
45     51.856   751.66   5.615    4.974    -0.00480 16.335   854.677   3.25   8.309
46     629.77   699.25   6.577    5.614    1.219    16.401   804.252   3.306  5.815
47     145.1    368.05   5.898    5.003    1.211    16.41    797.607   4.371  5.457
48     84.905   879.15   6.295    5.52     0.5027   16.479   748.409   3.396  5.597
49     557.15   168.72   6.854    6.133    0.6167   16.681   621.538   3.207  4.069
50     28.964   682.27   6.443    5.926    -0.5315  16.697   612.181   3.216  4.4
51     441.09   722.34   5.476    4.942    -0.1542  16.724   597.066   3.205  6.076
52     886.29   250.7    5.146    4.018    1.145    16.941   489.092   3.349  6.234
53     272.98   115.1    5.324    4.747    -0.4436  17.13    410.919   3.261  4.401
54     417.96   714.26   6.353    4.959    1.307    17.152   402.832   2.997  3.766
55     931.45   791.12   5.834    5.581    0.56     17.17    396.139   3.312  3.243
56     144.38   359.46   3.995    3.857    0.4013   17.411   317.262   4.971  3.655
57     150.9    687.55   5.504    4.466    -0.239   17.474   299.401   3.285  3.273
58     669.81   242.94   5.17     3.71     0.6144   17.656   253.018   3.215  3.621

58 found stars

Sky background (ADU)=31.00 Magnitude by second square=17.16
Processing time=14.81s
