# ID    d   s   ds    e  e  f    Bmag   e_B   Vmag   e_V    diff
ID-0001 17 37 14.32  -3 11 40.41 22.743 0.041 21.853 0.047 -0.041
ID-0002 17 37 14.56  -3 14 10.73 22.133 0.030 20.928 0.021 -0.032
ID-0003 17 37 14.57  -3 18 27.63 22.026 0.029 21.091 0.025 -0.001
ID-0004 17 37 14.60  -3 12 12.79 20.767 0.009 19.552 0.007 -0.050
ID-0005 17 37 14.60  -3 15 12.44 21.517 0.019 20.547 0.014 -0.022
ID-0006 17 37 14.63  -3 18 14.16 22.607 0.043 21.399 0.033 -0.001
ID-0007 17 37 14.71  -3 12 32.83 21.679 0.020 20.690 0.015 -0.050
ID-0008 17 37 14.79  -3 14 53.64 22.481 0.035 21.484 0.031 -0.022
ID-0009 17 37 14.82  -3 13 38.02 22.748 0.043 21.703 0.038 -0.032
ID-0010 17 37 14.84  -3 15 47.59 22.601 0.038 21.620 0.041 -0.022
ID-0011 17 37 15.30  -3 12 54.26 23.065 0.058 21.954 0.046 -0.050
ID-0012 17 37 15.73  -3  9 32.98 22.582 0.038 21.705 0.036 -0.048
ID-0013 17 37 15.83  -3 11 41.27 22.693 0.043 21.759 0.044 -0.041
ID-0014 17 37 15.95  -3 11 57.19 22.650 0.040 21.676 0.036 -0.041
ID-0015 17 37 15.96  -3 18 51.21 22.953 0.056 22.045 0.056 -0.006
ID-0016 17 37 16.05  -3 14 48.62 22.290 0.032 21.337 0.031 -0.022
ID-0017 17 37 16.16  -3 16  9.19 20.989 0.014 20.045 0.011  0.006
ID-0018 17 37 16.18  -3 18 18.42 22.602 0.043 21.194 0.024 -0.001
ID-0019 17 37 16.19  -3 10 20.26 18.561 0.003 17.228 0.002 -0.048
ID-0020 17 37 16.20  -3 19  1.65 22.564 0.038 21.477 0.034 -0.006
ID-0021 17 37 16.21  -3  9  1.04 22.425 0.039 21.112 0.025  0.002
ID-0022 17 37 16.21  -3 11  9.33 22.830 0.035 21.843 0.033 -0.041
ID-0023 17 37 16.22  -3 10  2.89 22.636 0.038 21.645 0.035 -0.048
ID-0024 17 37 16.22  -3 13  7.61 22.792 0.043 21.674 0.037 -0.050
ID-0025 17 37 16.22  -3 12 40.27 23.212 0.053 22.204 0.053 -0.050
