# ID  jfk    jdf     V      uncV   B_V   B_VUn
   1 1467.63 1106.58 11.406 0.005  0.702 0.007
   2  644.02   26.79 12.853 0.004  1.426 0.006
   3  241.15  354.39 14.047 0.003  0.664 0.005
   4  285.23 1191.12 14.165 0.003  1.024 0.005
   5 1559.35 1816.76 14.840 0.003  0.804 0.005
   6  400.20 1052.79 15.180 0.003  1.119 0.005
   7  286.05  484.68 15.349 0.003  0.851 0.005
   8  313.97  470.24 15.392 0.006  0.389 0.008
   9   99.29  227.80 15.415 0.005  0.550 0.007
  10  835.15 1745.64 15.540 0.006  0.820 0.008
  11  494.72  368.80 15.647 0.006  0.167 0.008
  12 1951.07 1056.78 15.726 0.006  0.572 0.008
  13  607.81  475.29 15.857 0.004  0.766 0.006
  14  611.63  682.17 15.907 0.004  0.664 0.006
  15  257.80  678.46 15.912 0.005  0.799 0.007
  16  610.86  544.08 15.931 0.005  0.455 0.007
  17  734.86 1113.07 15.931 0.004  1.468 0.006
  18  284.04  638.29 15.933 0.006  0.008 0.008
  19  158.55  392.72 16.120 0.004  0.664 0.006
  20  519.07  615.16 16.313 0.004  0.748 0.006
  21   91.31 1506.00 16.574 0.004  0.741 0.006
  22  759.89 1236.96 16.671 0.004  0.732 0.006
  23 1172.28  162.68 16.743 0.004  0.757 0.006
  24  200.42  209.77 16.782 0.004  0.729 0.006
  25  290.60   26.12 16.787 0.005  0.633 0.007
  26  390.82  754.78 16.831 0.004  1.086 0.006
  27  333.98   18.84 16.857 0.005  0.668 0.007
  28   38.69 1657.56 16.862 0.005  0.730 0.007
  29  433.47 1282.46 16.915 0.004  0.706 0.006
  30 1733.59  129.03 16.933 0.004  0.523 0.006
  31  358.88 1568.37 16.956 0.004  0.721 0.006
  32  111.10 1329.92 16.998 0.004  0.722 0.006
  33   29.07  239.70 17.207 0.005  0.710 0.007
  34  401.92  348.32 17.265 0.004  0.855 0.006
  35 1974.77  390.44 17.308 0.004  0.444 0.006
  36 2051.52 1730.55 17.349 0.006  0.821 0.009
  37 1387.50  171.82 17.549 0.004  0.320 0.006
  38  857.89 1463.36 17.568 0.004  0.198 0.006
  39  146.30   20.46 17.599 0.005  0.702 0.008
  40  585.68  513.43 17.644 0.004  0.664 0.006
  41  232.21 1445.47 17.664 0.004  0.688 0.006
  42  943.04   96.47 17.677 0.004  0.694 0.006
  43   39.15  431.50 17.695 0.004  0.164 0.006
  44 1515.27   53.79 17.771 0.004  1.120 0.006
  45  495.22  181.69 17.818 0.004  0.673 0.006
  46  422.27 1649.90 17.824 0.004  1.524 0.006
  47  715.39 1309.02 17.827 0.004  0.668 0.006
  48  548.97 1978.96 17.858 0.004  0.688 0.007
  49 1775.46 2005.16 17.940 0.005  1.130 0.007
  50 2035.60 1548.24 17.946 0.004  0.658 0.007
  51  698.15  662.86 17.970 0.004  0.662 0.006
  52 1619.06 1241.59 17.978 0.004  0.669 0.006
  53   99.59  143.23 17.984 0.005  0.637 0.007
