#No	Ref	B	V
1	324	8.471	8.505
1	354	8.5	8.51
1	354	9.19	9.18
1	354	9.22	9.24
1	478	8.43	8.5
2	104	8.91	8.95
2	324	8.878	8.928
2	354	8.88	8.93
2	478	8.87	8.91
2	1341	8.85	8.96
3	104	10.345	10.31
3	324	10.297	10.276
3	354	10.29	10.27
3	478	10.33	10.26
4	324	10.839	10.763
4	354	10.84	10.77
4	478	10.75	10.7
5	104	9.565	9.59
5	324	9.554	9.565
5	354	9.54	9.56
5	478	9.51	9.54
6	104	10.07	10.1
6	324	10.048	10.083
6	354	10.01	10.08
6	478	10	10.06
7	354	13.92	13.43
8	104	13.57	13.1
9	104	12.63	12.24
10	354	12.31	12.02
10	478	12.35	12.03
11	324	11.775	11.454
11	354	11.8	11.49
12	324	11.79	11.535
12	354	11.81	11.52
14	104	10.49	10.43
14	324	10.442	10.398
14	354	10.44	10.38
14	478	10.42	10.39
15	324	10.919	10.639
15	354	10.9	10.63
15	478	10.91	10.4
15	1341	10.85	10.67
16	324	12.178	11.888
17	324	11.966	11.751
17	354	12	11.76
18	354	12.64	12.31
19	324	11.112	11.021
19	354	11.11	11.02
20	104	9.435	9.46
20	324	9.413	9.432
20	354	9.4	9.42
20	478	9.39	9.41
21	104	8.43	6.9
21	315	8.58	7.03
21	324	8.411	6.908
21	354	8.43	6.91
21	478	8.4	6.91
21	1601	8.4	6.9
22	354	12.92	12.52
23	324	9.35	9.357
23	354	9.34	9.35
23	354	9.58	9.62
23	354	10.98	10.8
23	478	9.35	9.33
24	1341	12.89	12.49
25	324	9.973	10.009
25	354	9.95	9.99
25	478	9.94	9.95
25	1601	9.95	9.99
26	324	12.904	11.471
27	104	10.89	10.8
27	324	10.889	10.803
27	354	10.87	10.8
28	324	11.993	10.963
29	104	11.51	11.4
29	324	11.521	11.389
29	354	11.5	11.37
30	104	9.31	9.32
30	324	9.302	9.305
30	354	9.29	9.29
30	478	9.24	9.27
30	1341	9.29	9.32
31	324	12.034	11.662
31	354	12.04	11.67
32	324	11.831	11.616
32	354	11.84	11.63
33	324	11.803	11.558
33	354	11.8	11.56
34	354	13.31	12.88
34	1341	13.36	12.9
37	354	13.15	12.71
38	104	13.35	12.91
38	354	13.3	12.86
38	478	13.01	12.92
39	104	10.44	10.44
39	324	10.419	10.412
39	354	10.41	10.4
39	478	10.38	10.38
39	1341	10.44	10.45
40	324	11.321	11.111
40	354	11.31	11.08
41	104	12.025	11.81
41	324	12.023	11.825
41	354	12.01	11.79
42	324	11.039	10.851
42	354	11.06	10.85
43	324	11.314	11.228
43	354	11.3	11.18
44	104	8.435	8.48
44	324	8.4	8.464
44	354	8.39	8.46
44	478	8.37	8.44
46	324	11.021	9.914
46	354	10.85	9.76
47	104	11.43	11.29
47	324	11.44	11.309
47	354	11.4	11.31
49	324	10.531	10.428
49	354	10.51	10.41
49	478	10.47	10.42
51	324	9.335	9.386
51	354	9.33	9.37
51	478	9.32	9.38
51	1341	9.37	9.39
52	324	11.775	10.694
52	354	11.76	10.69
52	478	11.84	10.76
52	1341	11.75	10.69
53	324	11.659	11.124
53	354	11.65	11.11
53	478	11.6	11.05
54	104	10.87	10.8
54	324	10.705	10.673
54	354	10.71	10.66
54	1341	10.69	10.69
55	324	10.961	10.8
55	354	10.95	10.77
55	478	11.02	10.51
55	1341	10.97	10.81
56	324	10.137	10.213
56	354	10.15	10.21
56	478	10.12	10.21
56	1341	10.22	10.26
57	324	12.199	11.937
57	354	12.16	11.94
58	104	11.455	11.32
58	324	11.409	11.294
58	354	11.41	11.29
59	324	11.254	11.021
59	354	11.25	11.01
59	478	11.24	11
59	1341	11.22	11.05
61	104	8.93	8.99
61	324	8.935	8.982
61	354	8.94	8.97
61	478	8.91	8.97
62	324	11.115	11.038
62	354	11.12	11
62	478	10.99	10.95
63	324	9.578	9.627
63	354	9.56	9.6
63	478	9.52	9.58
64	324	12.148	11.527
65	354	13.16	12.73
67	324	10.795	10.767
68	324	11.28	11.097
68	354	11.28	11.14
70	104	9.115	9.16
70	324	9.098	9.144
70	354	9.09	9.13
70	478	9.06	9.09
71	354	12.28	11.98
73	324	12.443	10.815
75	104	8.675	7.44
75	315	8.77	7.5
75	324	8.69	7.436
75	354	8.68	7.43
75	478	8.69	7.5
75	640	8.69	7.43
75	1601	8.68	7.43
76	324	11.242	11.155
76	354	11.24	11.14
76	478	11.26	11.18
77	324	12.97	11.788
77	354	12.98	11.78
78	324	10.885	10.667
78	354	10.87	10.64
78	478	10.9	10.7
78	1341	10.88	10.66
80	324	10.381	10.275
80	354	10.38	10.23
82	324	11.166	11.048
82	354	11.15	11.03
82	478	11.26	10.62
82	1341	11.12	11.06
84	104	8.33	8.4
84	324	8.305	8.358
84	354	8.29	8.36
84	478	8.27	8.34
85	324	10.322	10.308
85	478	10.25	10.24
86	324	10.665	10.462
86	478	10.58	10.39
87	104	9.24	7.86
87	315	9.2	7.83
87	324	9.203	7.84
87	478	9.25	7.99
88	324	11.471	10.753
88	478	11.48	10.76
89	324	11.623	10.699
89	478	11.59	10.7
90	324	11.548	11
90	354	11.55	11
90	478	11.53	10.97
91	324	11.15	11.058
91	354	11.14	11.03
91	478	11.12	11
92	315	8.89	7.96
92	324	8.923	8.003
92	354	8.92	7.99
92	478	8.88	7.99
92	1341	8.88	7.77
92	104	9.325	8.2
92	354	9.38	8.21
92	1601	9.5	8.3
92	354	10.02	9.75
93	324	9.71	9.751
93	354	9.71	9.74
93	478	9.67	9.7
94	324	10.492	9.337
94	354	10.51	9.33
94	478	10.53	9.34
95	324	10.831	10.799
95	354	10.83	10.78
95	478	10.77	10.66
96	324	11.137	11.027
96	354	11.12	11.01
96	478	10.59	10.56
97	104	8.65	7.51
97	315	8.98	7.82
97	324	8.95	7.803
97	354	8.96	7.8
97	478	8.94	7.78
97	1341	8.89	7.77
97	1601	8.94	7.8
98	354	12.54	12.19
101	104	8.29	8.3
101	324	8.27	8.293
101	354	8.24	8.28
101	478	8.27	8.29
102	324	7.867	7.275
102	354	7.85	7.29
102	478	7.86	7.28
103	104	8.35	8.4
103	324	8.354	8.407
103	354	8.34	8.4
103	478	8.34	8.37
103	1341	8.33	8.39
104	324	9.177	9.201
104	354	9.17	9.19
