n  V      B_V
11 17.403 0.544
13 18.473 0.671
13 18.079 0.510
12 18.500 0.0
14 19.678 0.685
15 18.278 0.477
16 18.065 0.518
18 18.314 0.619
19 19.262 0.0
20 19.324 0.913
21 17.692 0.609
21 19.233 0.826
21 17.636 0.538
24 19.104 0.634
25 18.272 0.541
25 19.460 0.563
28 17.294 0.642
27 18.771 0.0
30 17.802 0.583
31 19.395 0.893
32 19.018 0.760
35 16.824 0.735
35 18.112 0.518
36 19.767 0.0
38 19.796 0.595
39 17.805 0.532
40 17.347 0.531
40 18.032 0.496
43 19.556 0.696
46 18.998 0.0
45 18.152 0.642
46 18.998 0.764
47 18.425 0.512
48 19.461 0.552
49 18.413 0.646
49 18.078 0.596
52 18.278 0.647
49 19.530 0.0
51 18.358 0.761
57 17.838 0.465
60 17.334 0.560
61 17.195 0.602
63 18.351 0.608
64 19.610 0.0
64 19.633 0.601
66 19.194 0.499
68 13.382 0.981
70 18.141 0.679
72 19.561 0.0
74 18.068 0.0
75 17.924 0.590
80 19.201 0.0
81 18.492 0.769
82 19.475 0.0
86 19.639 0.0
86 18.659 0.822
87 19.108 0.585
87 19.365 0.994
88 19.569 0.0
89 18.764 0.645
90 19.393 0.755
89 19.557 0.792
94 17.283 0.624
94 17.645 0.0
99 17.461 0.540
100 19.006 0.776
102 17.036 0.0
103 16.820 0.0
104 17.863 0.490
104 17.833 0.526
105 14.037 0.889
107 19.320 0.806
110 18.148 0.551
111 18.458 0.600
110 17.235 0.0
110 19.010 0.767
113 17.782 0.483
113 19.656 0.0
116 17.183 0.666
119 18.982 0.547
121 19.201 0.692
124 19.305 0.617
128 18.805 0.517
129 18.649 0.0
131 16.930 1.504
132 18.253 0.560
133 18.056 0.0
134 18.578 0.533
133 16.294 0.0
135 19.275 0.675
136 19.183 0.662
136 18.419 0.666
136 18.762 0.0
136 19.649 0.737
138 17.598 0.515
138 18.667 0.783
146 18.991 0.530
147 18.154 0.566
147 19.022 0.842
148 18.027 0.517
150 19.750 0.0
152 19.316 0. 820
153 17.434 0.642
154 17.672 0.567
157 19.490 0.714
