# ID  X      Y        V        unc_V    B      unc_B  I        unc_I   X_     E
   1  736.86 1268.73  11.781   0.001  13.352   0.001  10.164   0.001   1.269  -0.065
   2  813.82 1175.30  11.812   0.001  13.617   0.001  10.015   0.001   1.346  -0.084
   3  798.89  740.11  11.868   0.001  13.433   0.001  10.242   0.001   1.512  -0.152
   4  271.33  984.05  11.895   0.001  13.536   0.001  10.226   0.001   1.091  -0.071
   5  980.47 1509.81  12.072   0.001  13.607   0.001  10.497   0.001   1.177  -0.047
   6  972.29  700.40  12.075   0.001  13.703   0.001  10.411   0.001   1.392  -0.134
   7 1169.11  906.73  12.139   0.011  13.685   0.010  10.535   0.001   1.220  -0.050
   8 1138.90  775.46  12.220   0.001  13.734   0.001  10.656   0.001   1.284   0.021
   9 1712.35 1888.44  12.266   0.001  13.438   0.001  11.057   0.001   0.978  -0.039
  10 1920.18  617.35  12.282   0.001  13.744   0.001  10.750   0.001   1.717  -0.191
  11 1446.78  785.13  12.376   0.001  13.851   0.001  10.828   0.001   1.235  -0.047
  12 1650.27  272.35  12.399   0.001  13.987   0.001  10.740   0.001   1.403  -0.146
  13  992.17 1505.96  12.429   0.001  13.559   0.001  11.256   0.001   1.110  -0.042
  14 2202.17  887.22  12.470   0.002  13.049   0.002  11.745   0.002   2.273  -0.284
  15  622.78  734.99  12.501   0.001  14.054   0.001  10.864   0.001   1.290  -0.110
  16 1249.10  608.54  12.523   0.001  13.966   0.001  11.001   0.001   1.220  -0.034
  17  623.18  597.85  12.551   0.001  14.031   0.001  10.982   0.001   1.305  -0.102
  18 1085.85  655.23  12.572   0.001  13.937   0.001  11.115   0.001   1.237  -0.104
  19 1328.90  706.68  12.629   0.001  14.043   0.001  11.122   0.001   1.150  -0.059
  20 1556.56  739.88  12.630   0.001  14.061   0.001  11.117   0.001   1.246  -0.073
  21  654.27 1842.63  12.664   0.001  14.352   0.001  10.919   0.001   0.998  -0.065
  22 1187.57 1209.66  12.685   0.001  14.135   0.001  11.153   0.001   1.191   0.063
  23 1259.84  508.01  12.718   0.001  14.068   0.001  11.249   0.001   1.251  -0.020
  24  972.09  794.93  12.722   0.001  14.092   0.001  11.251   0.001   1.221  -0.156
  25  989.62  535.37  12.737   0.001  14.166   0.001  11.206   0.001   1.242  -0.149
  26  994.51  953.71  12.743   0.005  14.127   0.003  11.259   0.002   1.159  -0.111
  27 1319.66  858.64  12.799   0.001  14.096   0.001  11.376   0.001   1.127  -0.063
  28 1224.01  806.77  12.836   0.001  14.201   0.001  11.380   0.001   1.102  -0.076
  29  936.11 1139.53  12.866   0.001  14.212   0.001  11.410   0.001   1.090  -0.061
  30 1118.73 1150.99  12.885   0.001  14.242   0.001  11.411   0.001   1.096  -0.060
  31 2070.02 1690.51  12.909   0.001  14.181   0.001  11.527   0.001   1.290  -0.070
  32 1661.70  228.44  13.338   0.001  15.207   0.001  10.103   0.001   1.208  -0.109
  33 1353.50  617.41  12.910   0.001  14.132   0.001  11.651   0.001   1.132  -0.101
  34 1301.20  417.80  12.980   0.001  14.275   0.001  11.544   0.001   1.142  -0.108
  35 1276.09  715.90  12.984   0.001  14.242   0.001  11.588   0.001   1.102  -0.095
  36  955.24  733.80  13.006   0.001  14.217   0.001  11.627   0.001   1.087  -0.003
  37 1235.60  882.85  13.013   0.009  14.285   0.006  11.614   0.001   1.161   0.102
  38 1955.56 1835.47  13.171   0.001  14.333   0.001  11.999   0.001   1.259  -0.062
  39 1399.94  723.91  13.240   0.001  14.505   0.001  11.836   0.001   1.083  -0.073
  40  905.19 1348.23  13.259   0.001  14.389   0.001  11.961   0.001   1.017  -0.067
  41 1605.07 1332.76  13.301   0.001  14.653   0.001  11.808   0.001   1.117  -0.047
  42 1833.06 1454.91  13.264   0.001  14.607   0.001  11.906   0.001   1.155  -0.106
  43 1337.88  642.40  13.341   0.001  14.583   0.001  11.967   0.001   1.063  -0.120
  44  750.65 1108.53  13.362   0.001  14.501   0.001  12.046   0.001   1.022  -0.023
  45 2212.47  433.21  13.375   0.002  14.543   0.002  12.048   0.002   1.669  -0.142
  46 1075.20  768.11  13.393   0.001  14.614   0.001  12.033   0.001   1.099  -0.148
  47 1210.65  810.21  13.430   0.001  14.633   0.001  12.079   0.001   1.035   0.016
  48  166.10 1474.13  13.437   0.001  14.612   0.001  12.124   0.001   1.178  -0.018
  49  695.42 1306.71  13.458   0.001  14.530   0.001  12.196   0.001   0.985   0.006
  50  836.28  764.90  13.454   0.001  14.697   0.001  12.052   0.001   1.084  -0.140
  51 1268.89  760.71  13.526   0.001  14.607   0.001  12.262   0.001   1.038  -0.110
