Num    X        Y        FwhmX    FwhmY    Angle    Mag      Flux          OMC        SNR
1      280.46   573.84   3.932    3.814    -1.156   11.567   1.17625E6     486        142.4
2      625.66   71.682   3.915    3.749    -1.315   11.664   1.07584E6     381.7      169.5
3      494.01   263.22   3.715    3.619    -1.149   11.776   970212        443.5      143.6
4      492.1    1112.9   3.733    3.61     -0.8858  11.921   848429        569.7      97.52
5      852.9    376.61   3.665    3.512    -1.111   11.988   798111        433.8      126.2
6      283.21   949.11   3.711    3.537    -0.7012  12.015   778226        472.2      110.8
7      211.76   87.207   3.809    3.641    0.8787   12.018   776127        371.9      132.8
8      944.86   450.11   3.648    3.583    1.467    12.371   560594        284.7      133
9      575.03   390.46   3.684    3.533    -1.359   12.395   548629        275.2      135.2
10     263.95   502.42   3.633    3.558    -1.463   12.434   529070        283.9      127.3
11     363.7    294.75   3.629    3.565    -1.408   12.514   491652        252.1      133.1
12     649.79   126.35   3.71     3.565    -1.194   12.645   435865        225.6      128.9
13     126.83   39.166   4.016    3.647    0.7514   12.694   416601        268.1      93.63
14     282.72   140.17   3.687    3.621    1.48     12.847   361866        184.7      129.5
15     955.71   405.05   3.637    3.562    1.499    12.933   334224        179.7      126.7
16     510.67   205.74   3.727    3.608    -1.168   13.132   278201        243.5      74.99
17     1718.7   215.63   3.744    3.582    -1.434   13.227   254871        130.4      128.6
18     148.14   494.19   3.671    3.595    -1.389   13.373   222826        121.9      122.2
19     266.88   1012.1   3.698    3.556    -0.5405  13.426   212207        130.2      109.4
20     239.8    343.55   3.683    3.604    -1.53    13.458   206075        116.1      118
21     659.66   368.2    3.675    3.52     -1.278   13.489   200228        104.1      131.2
22     693.74   225.85   3.696    3.522    -1.051   13.526   193561        103.3      127
23     109.64   515      3.672    3.624    1.078    13.578   184455        107.7      113.6
24     117.29   99.97    3.859    3.582    0.7243   13.594   181814        160        72.53
25     31.297   142.41   3.985    3.629    0.6115   13.598   181088        106.7      103.5
26     49.177   881.18   3.689    3.535    -0.1107  13.623   177075        101.7      117.8
27     267.99   185.93   3.669    3.605    1.264    13.695   165706        84.61      130.7
28     29.728   791.37   3.719    3.567    -0.03234 13.716   162463        88.1       122.7
29     33.66    88.618   3.976    3.577    0.6352   13.733   159960        108.8      91.2
30     1277     1019     3.835    3.655    -1.422   13.858   142569        85.34      105.2
31     175.27   160.79   3.855    3.702    0.7212   13.872   140709        188.4      46.19
32     1192.2   1024.9   3.775    3.637    -1.214   13.94    132162        86.07      98.7
33     176.29   46.496   3.871    3.645    0.7788   13.951   130873        84.4       96.99
34     204.09   41.668   4.036    3.64     0.5648   14.031   121513        304.4      23.98
35     565.01   573.62   3.72     3.544    -1.023   14.13    110920        68.13      109
36     630.29   487.32   3.717    3.577    -0.9758  14.17    106959        86.61      81.96
37     253.61   672.06   3.627    3.551    -0.8488  14.184   105594        55.83      129.6
38     65.501   558.28   3.688    3.568    -0.1395  14.218   102311        66.03      103.9
39     101.96   242.1    3.882    3.658    0.4515   14.24    100233        77.2       80.68
40     108.8    486.9    3.71     3.625    1.171    14.262   98257.8       56.84      113.5
41     407.28   176.37   3.651    3.523    -1.208   14.267   97792         100        67.1
42     151.67   184.44   3.729    3.568    0.6337   14.306   94324.2       60.61      103.2
43     123.47   216.87   4.091    3.753    1.521    14.31    94051.3       59.97      90.15
44     19.064   421.93   3.747    3.697    -1.274   14.37    88940.7       58.52      96.84
45     184.03   23.775   3.942    3.742    0.889    14.379   88234.9       93.34      56.56
46     469.16   20.394   3.77     3.604    -1.259   14.406   86062.2       50.76      110.1
47     672.71   433.72   3.675    3.499    -1.066   14.489   79716.1       43.95      124.5
48     125.34   240.99   3.878    3.599    0.9849   14.489   79694.4       74.46      67.67
49     187.18   203.93   3.705    3.599    -0.6136  14.494   79380.3       54.41      96.54
50     388.91   1108.5   3.72     3.617    -0.5402  14.496   79238         50.91      102.1
51     68.149   213.17   3.96     3.561    0.4093   14.504   78657         120.2      40.94
52     320.26   789.15   3.705    3.533    -0.8199  14.507   78384.6       43.94      120.2
53     354.92   278.91   3.966    3.578    1.422    14.508   78375.8       90.86      53.64
54     1049.4   574      3.754    3.667    1.326    14.525   77096.6       41.7       118.5
55     179.04   714.43   3.634    3.56     -0.3505  14.54    76060.3       43.48      119.3
56     636.19   265.12   3.656    3.556    -1.492   14.545   75751.7       40.48      127
57     248.05   271.61   3.636    3.629    -0.1782  14.548   75502.6       119.4      42.28
58     575.33   417.61   3.699    3.52     -1.367   14.554   75069.7       50.73      100.3
59     483.99   46.881   3.591    3.473    -1.22    14.558   74815.6       129.5      40.88
60     157.04   701.75   3.613    3.574    0.2837   14.562   74551.5       52.4       97.24
61     295.37   155.27   3.819    3.602    0.4708   14.587   72837.7       93.84      49.8
62     130.08   728.3    9.294    3.871    1.549    14.598   72093.2       206.1      8.582
